J. Lingard,62
M. Weiser,67
D. Cheryshev,74
Bigas,78
D. Heintz,87
L. Castro,80
J. Ward-Prowse,66
T. Inui,63
M. Sabitzer,74
B. Mendy,85
R. Jiménez,81
E. Sala,75
B. Reynet,85
M. Niang,78
K. Fortounis,70
Pozuelo,73
Joãozinho,61
P. Kadeřábek,81
T. Vilhena,75
M. Elyounoussi,70
L. Bittencourt,63
J. Vestergaard,98
Sergi Darder,71
D. Demme,68
V. Eysseric,73
G. Ramírez,77
David López,81
G. Kondogbia,80
C. Tătăruşanu,86
M. Badelj,76
A. Mandi,78
Ismaily,78
A. Marchesín,85
L. Teodorczyk,86
Marafona,86
B. Lecomte,78
N. Chadli,80
M. Uth,74
S. Rode,75
M. van Ginkel,82
André André,65
Danilo,78
V. Aboubakar,82
C. Aránguiz,71
Luis Alberto,74
Raúl Navas,84
K. Mbodj,95
Rodrigo,77
R. Funes Mori,81
N. Lodeiro,69
D. Caligiuri,80
S. Verdi,61
E. Pérez,77
T. Gutiérrez,82
C. Austin,84
Borja Bastón,82
A. Townsend,73
W. Khazri,76
G. Pezzella,81
G. Burgstaller,80
T. Delaney,77
C. Tosun,78
K. Casteels,86
E. Giaccherini,60
R. Hamouma,76
H. Badstuber,83
M. Plattenhardt,76
Fontàs,89
G. Töre,70
C. Borges,76
E. Mangala,84
Etxeita,79
B. Mee,74
Rafael,78
J. Baumgartlinger,82
Victor Sánchez,72
Souza,80
Susaeta,68
E. Berisha,92
Y. Bolasie,84
A. N'Diaye,82
Miguel Lopes,83
N. Nkoulou,77
S. Lulić,78
L. Acosta,67
Juanfran,69
Rochina,76
P. Mamaev,70
O. El Kaddouri,74
A. Dzyuba,91
D. Glushakov,81
Y. M'Vila,82
K. Asamoah,75
J. Montero,74
K. Honda,76
K. Trippier,72
E. Hernández,65
K. Gibbs,70
Fernando,76
N. Müller,66
S. Langkamp,85
M. Sissoko,91
F. Bartels,69
R. Bobadilla,88
T. Deeney,90
B. Dzsudzsák,72
M. Pereira,73
A. Carroll,79
J. Holebas,81
M. Suchý,84
Luiz Adriano,78
Guilherme,78
Ki Sung Yueng,79
Mosquera,76
M. Layún,69
T. Mangani,79
Granero,78
P. Baysse,85
Miguel Veloso,79
C. Zapata,78
M. Díaz,63
N. Guzmán,93
A. Ramos,78
V. Odjidja-Ofoe,79
M. Fernández,72
E. Elia,77
S. Defour,72
G. dos Santos,74
J. Cork,69
S. Ryzhikov,92
Y. Gourcuff,82
B. Yılmaz,77
Javi García,82
K. Vermeer,80
M. Bradley,79
Adriano,75
C. Dempsey,77
H. Briceldo,83
B. Moukandjo,74
A. Finnbogason,78
Juanmi,69
L. Kalinić,99
N. Subotić,83
N. Blandi,76
P. De Blasis,65
M. Phillips,75
M. Braithwaite,77
A. Lafont,82
D. Reyes,74
Iván Ramis,82
V. Behrami,78
Portu,70
G. Hoarau,80
T. Barnetta,70
E. Choupo-Moting,91
Jesé,72
J. Pinola,81
Luís Hernández,74
Jonny,70
B. Dočkal,72
Raphaelito Anjos,85
M. Carcela-González,67
L. Pavoletti,85
F. Kessié,76
D. Bonera,74
Marcelo,74
Dalbert,70
G. McAuley,89
A. Halilović,61
N. Amiri,73
I. Popov,77
N. Burdisso,81
W. Hoolahan,71
Sidney Pessinho,85
A. Potuk,67
F. Pogba,93
M. Andújar,88
D. Boyko,82
A. Carrillo,78
M. Andreolli,80
Bruno,86
O. Duarte,81
Rúben Neves,75
Jozabed,67
P. Pérez,76
Gazzolisco,73
Pacheco,81
M. Gamonales,75
Ronaldo Esler,65
Vitor Hugo,80
T. Arslan,77
O. Wendt,82
Diego Carlos,79
J. Veretout,67
D. Pabón,73
Juan Jesus,76
E. Durm,72
G. Imbula,77
M. Risse,75
Luís Neto,71
B. Ruíz,78
Jordi Amat,83
S. Kapino,91
J. Ďurica,86
B. Stambouli,82
F. Armani,89
C. Kaboré,78
A. Rukavina,74
P. Kimpembe,71
Sergio León,73
M. Elneny,70
D. Torres,81
S. Okazaki,78
C. Jallet,70
Y. Salibur,76
N. Redmond,69
A. Song,74
Castán,80
K. Huntelaar,80
S. Berghuis,72
Víctor Vázquez,76
Mário Rui,67
André Pinto,86
L. Rémy,80
Badou Ndiaye,76
O. Kıvrak,74
A. Bertolacci,75
A. Belenov,91
A. Živković,70
M. Lemina,85
Iraizoz,89
D. Da Silva,82
D. Benaglio,89
T. Rincón,76
Y. Ōsako,71
L. Sané,77
Gil,87
J. King,74
Bastos,77
J. Quintero,64
A. Meier,96
T. Kolodziejczak,75
A. Pirlo,68
G. Nkoudou,73
Montoya,73
L. Dalsaro,85
K. Källström,83
T. Vaclík,85
M. Politano,65
M. Zárate,76
G. İnler,80
M. Albrighton,74
A. Gray,78
Marçal,74
M. Ryan,82
A. Gamberini,80
Yoel,78
S. Widmer,79
J. Aquino,62
S. Gentiletti,77
C. Sánchez,82
G. Defrel,79
T. Krul,74
R. Martínez,81
J. Geis,81
P. Verhaegh,74
B. Jones,76
H. Nordtveit,83
R. Steffen,65
Bruno Varela,87
M. Hasebe,72
Y. Mutō,72
J. Córdoba,85
L. Schøne,75
R. Rosales,70
N. De Préville,77
Marcos Llorente,71
Y. Chará,68
S. Torrico,84
Wallace,85
R. Babel,85
J. Toornstra,74
Pedro Obiang,75
A. Boruc,87
V. Chiricheş,75
S. Hanni,72
C. Théréau,79
D. Rolán,70
Pedro Henrique,88
Bruno Gaspar,69
Cristian Tello,65
Formosandrinho,72
S. Haller,88
Claudio Coíntra,71
F. Sørensen,88
T. Howard,88
J. Van Damme,90
L. Britton,65
I. Khune,81
V. Grifo,72
T. Cairney,83
Sandro,71
F. Delph,60
J. Veltman,73
A. Dragović,76
D. Pröpper,79
J. Pickford,77
Luisinho,67
Vitinho,76
Z. Feddal,83
Vallejo,74
Rafael Carioca,72
David García,82
Javi Varas,74
J. Allen,62
A. Younes,70
L. Hernández,76
A. Mooy,78
Campaña,72
Vieirinha,73
R. van Persie,71
Wendell,71
M. Boselli,75
Y. Sabaly,67
R. Weidenfeller,90
J. Hofmann,70
H. Arter,70
M. Lemos,80
Louri Beretta,83
F. Caicedo,82
S. Sturaro,82
Pablo Fornals,67
Sergi Gómez,77
P. Jansson,89
A. Berezutskiy,87
L. Pellegrini,77
A. Masiello,82
M. Ekici,76
A. Nyom,81
S. Ignashevich,84
F. Roncaglia,76
P. Hidalgado,72
J. De Guzmán,70
M. Gradel,70
